name,latitude,longitude,micrositeSlug
"2 Grey Birds",-36.0811219,146.9164247,albury
"A.S. Interiors",-36.0780035,146.9231431,albury
"Adairs Albury",-36.0787198,146.9189429,albury
"Addiction Albury",-36.0808755,146.9140218,albury
"Adrenaline Boxing & Conditioning",-36.0787198,146.9189429,albury
"AIDA Restaurant",-36.0809079,146.9186383,albury
"Albury Connected Therapies",-36.0835928,146.9196703,albury
"Albury Engraving plus Paul's Medals",-36.0814093,146.9125734,albury
"Albury Entertainment Centre",-36.0795997,146.9167471,albury
"Albury Picture Framers",-36.0820418,146.9164394,albury
"All Music",-36.0801983,146.9142249,albury
"Bliss Skin and Body",-36.07940850000001,146.9188972,albury
"Blooms The Chemist Albury",-36.08107700000001,146.9129875,albury
"Blue Illusion - Albury",-36.0812615,146.918606,albury
"Border Just Foods",-36.0843024,146.9135671,albury
"Canvas Eatery",-36.0805494,146.9167774,albury
"Chopstix House",-36.08189,146.9165819,albury
"Circa 1928",-36.0802119,146.914813,albury
"Clancy's Food Store",-36.0825965,146.9119998,albury
"Country Labels",-36.0805938,146.9132965,albury
"Dean's Shoes & Keys",-36.0822069,146.9170328,albury
"Din Dins",-36.0829934,146.9138899,albury
"Drummond Golf & Big Swing Golf Albury",-36.0805886,146.9126114,albury
"Earth To Life",-36.0803492,146.913994,albury
"Elite Supps Albury",-36.0813907,146.9178454,albury
"Essence Audiology",-36.0801872,146.9192527,albury
"Evans Shoes Store",-36.0814964,146.9196714,albury
"Fashion Fingers - Nail & Beauty Salon",-36.0827049,146.9172008,albury
"Fever Clothing",-36.0806555,146.9184724,albury
"Figgy Salon",-36.0803162,146.9152089,albury
"Flowers in the Lane",-36.0818383,146.9162419,albury
"Flowers Naturally",-36.0825484,146.9115102,albury
"Formulae Albury",-36.082823,146.917597,albury
"Foto Supplies Camera House Albury",-36.0808857,146.918879,albury
"Good Games Albury",-36.0815234,146.9198929,albury
"Hub N Hive",-36.0808556,146.9197835,albury
"Indian Chimney Albury",-36.0798575,146.9117493,albury
"Indian Tandoori Restaurant",-36.0818269,146.9222714,albury
"Inspirations Paint Albury",-36.08324169999999,146.914813,albury
"Jacks on Olive",-36.0807315,146.9185685,albury
"Level One Cellars",-36.0799546,146.911846,albury
"Level One Wine Bar & Restaurant",-36.0808003,146.9190155,albury
"Lighting Bonanza",-36.0815285,146.921044,albury
"Lost N Found Barbers",-36.0802011,146.9155724,albury
"Luxe Skin Clinic",-36.0797624,146.9233189,albury
"Made Store (prev. Tribe Store)",-36.0791221,146.9190232,albury
"Mercure Albury",-36.0778664,146.9182417,albury
"Modern Boba",-36.0814661,146.9172375,albury
"Mr Benedict",-36.0798496,146.9116705,albury
"Murray Art Museum Albury",-36.0805494,146.9167774,albury
"Murray Conservatorium",-36.0806358,146.91789,albury
"Perls Mens & Ladieswear",-36.079345,146.9188571,albury
"Priceline Pharmacy Albury (formerly Amcal Pharmacy / Terry White Chemmart )",-36.0811919,146.9167134,albury
"Quest (Townsend St)",-36.0829934,146.9138899,albury
"Quest Albury",-36.0780605,146.9167911,albury
"Sam's Family Cafe",-36.0792523,146.9187647,albury
"Season to Taste (prev. The Essential Ingredient)",-36.08149,146.9199121,albury
"Spice Clothing",-36.0807386,146.9196263,albury
"SportsPower Albury",-36.0818657,146.922586,albury
"Temperance & General",-36.0804754,146.9142245,albury
"The Abbeyhill Collective",-36.0786851,146.9157768,albury
"The Goddess Emporium",-36.0794889,146.9188821,albury
"The iScreen Man",-36.0809641,146.920227,albury
"The Oracle Shops",-36.0812481,146.9191645,albury
"The Parlour on Olive",-36.0783042,146.9182433,albury
"The Proprietor",-36.0826085,146.9123558,albury
"The Real Florist",-36.0791763,146.9191101,albury
"The Woolhouse",-36.0803044,146.9144394,albury
"Valentines Artisan Sourdough Bakers",-36.074982,146.921871,albury
"Vines Florist",-36.08059860000001,146.9185728,albury
"Visitor Information Centre",-36.0775921,146.9247463,albury
"Who What Why",-36.0813947,146.9190549,albury
"Yuu Sushi",-36.0816719,146.9213804,albury
"YO BLISS",-36.0812221,146.9189288,albury
"Zeinert & Co",-36.0814432,146.918967,albury
"Hello Darling - Dean St",-36.081603,146.9228113,albury
"Oscar Wylee",-36.0811813,146.9166262,albury
"The Chocolate Labrador",-36.0810996,146.9177385,albury
"Monumental Ice Creamery",-36.0832389,146.9206757,albury
"Dash Cakes",-36.0818064,146.9162573,albury
"Adventure Gear Albury",-36.0817649,146.9225355,albury
"RB Sellars",-36.0808907,146.9141317,albury
"InstantScripts Albury Compounding Pharmacy Health Hub",-36.0818119,146.9108131,albury
"Olive Health Foods",-36.0797656,146.9188302,albury
"Albury Regent Cinemas",-36.0811219,146.9164247,albury
"Booktique Albury",-36.0818064,146.9162573,albury
"Mad Mex",-36.076282,146.9164962,albury
"Healthfocus Physiotherapy",-36.08190889999999,146.9171322,albury
"Pakstat",-36.0846263,146.9146372,albury
"Mantra Albury Hotel",-36.0826053,146.9167911,albury
