name,latitude,longitude,micrositeSlug
"Bombala Cycles & Chainsaws",-36.9113733,149.2367415,bombala
"Bombala Electrical & Hardware (BiRite)",-36.9115808,149.2395943,bombala
"Bombala Pharmacy",-36.9111949,149.2392675,bombala
"Bombala Post Office",-36.9117212,149.2385844,bombala
"Delegate Progress Association",-37.04402270000001,148.9390343,bombala
"Ingram Quality Meats",-36.9117068,149.2390498,bombala
"Merrita's Fruit Cakes",-36.9103563,149.2405126,bombala
"Nicky's Hair Room",-36.9013495,149.2342024,bombala
"Priscilla's at The Heritage",-36.9121975,149.2377722,bombala
"The Heritage Guest House",-36.9108684,149.240079,bombala
"Bombala Servo",-36.9095398,149.24151,bombala
"Lou Lous",-36.9109224,149.239563,bombala
"Maybe Décor",-36.9117522,149.2400471,bombala
"IGA Bombala",-36.9117068,149.2390498,bombala
"The Cozy Corner",-36.9114859,149.2398411,bombala
"Club Bombala",-36.9122674,149.2385373,bombala
"Herbs with Altitude",-37.0433031,148.9424797,bombala
"Delegate Café",-37.0440251,148.9393701,bombala
