name,latitude,longitude,micrositeSlug
"The Cornelian Bay Boathouse Restaurant",-42.8541215,147.3193152,hobart
"Fellini fashion",-42.882539,147.3278425,hobart
"Teros - love the earth",-42.8804532,147.3257198,hobart
"Fang's Massage",-42.8806668,147.3282176,hobart
"Flavious pizza",-42.8838193,147.3236195,hobart
"City Organics",-42.88136919999999,147.3256296,hobart
"Maillard Coffee Co",-42.8956925,147.3264252,hobart
"Lily & Dot",-42.8797331,147.3234765,hobart
"Quarter Inch",-42.8728088,147.3215165,hobart
"Health and Leisure",-42.8811478,147.3234184,hobart
"Monsoon Shabu Shabu",-42.8803547,147.3246265,hobart
"Florage Tasmania",-42.8818877,147.3238699,hobart
"Shambles Brewery",-42.8784389,147.3202437,hobart
"A Moment Of Tea",-42.8870897,147.3338506,hobart
"Amaranta grill and bar",-42.8837505,147.3276555,hobart
"Blue Eye Seafood Restaurant",-42.8826055,147.3257196,hobart
"Habeo",-42.8892198,147.3306661,hobart
"Wild State Skincare",-42.9015118,147.3210453,hobart
"Somewhere Coffee Bar",-42.8803709,147.3246151,hobart
"Kuuma",-43.0485225,147.2644438,hobart
"Yamashita Japanese Restaurant",-42.8813901,147.3261191,hobart
"Mr Massage Hobart",-42.8833139,147.3265677,hobart
"Rude Boy Hobart",-42.8800947,147.3240664,hobart
"Chai Vegetarian Cuisine",-42.88193039999999,147.3257557,hobart
"Plato's. Wonder. Create. Discover",-42.8872808,147.3322698,hobart
"Escape Skin and Body",-42.8826055,147.3257196,hobart
"OffCourt Sports",-42.8846114,147.3232174,hobart
"Wagner Framemakers",-42.878778,147.3260501,hobart
"Battery Point Gift and Postal",-42.8895529,147.3332132,hobart
"Lamoon Royal Thai",-42.8787569,147.3220555,hobart
"Folde Yoga School",-42.8827898,147.3260906,hobart
"City Organics",-42.8826055,147.3257196,hobart
"Nova Holistic Spa",-42.8841695,147.3230262,hobart
"Tasmanian Symphony Orchestra",-42.8803602,147.3340164,hobart
"Oyster Cove Brewing",-42.88692229999999,147.3321107,hobart
"Fullers Bookshop",-42.88419200000001,147.326074,hobart
"Hobart Exercise Physiology",-42.8945565,147.3098198,hobart
"Ted&Tilly",-42.8673988,147.290565,hobart
