name,latitude,longitude,micrositeSlug
19XO Canapes & Cocktail,-25.2845025,152.8683106,fraser-coast
50's Diner Hervey Bay,-25.2844383,152.8553029,fraser-coast
AATEC Office National Hervey Bay,-25.2855308,152.8320282,fraser-coast
AATEC Office Technology,-25.2845305,152.8277894,fraser-coast
Advice4Business,-25.2925285,152.8061572,fraser-coast
All Auto Detailing,-25.5294774,152.684217,fraser-coast
All Body Care,-25.2812274,152.8263535,fraser-coast
All States Training,-25.5001922,152.6292175,fraser-coast
Alowishus Delicious,-25.5381301,152.7018494,fraser-coast
Alpha Natural Health Centre,-25.5222359,152.6881428,fraser-coast
Aquavue Beachfront Bar & Eatery,-25.2838404,152.8686302,fraser-coast
Arkarra Gardens Cafe Restaurant,-25.2766953,152.7596136,fraser-coast
Art at the Marina,-25.2927288,152.9100191,fraser-coast
Art Material Supplies - Wide Bay Gallery,-25.5384266,152.7017346,fraser-coast
Astro Alloys,-25.285805,152.8321201,fraser-coast
Aura Dental Centre,-25.2850983,152.845984,fraser-coast
Australian Ocean King Prawn Company,-25.316227,152.8915448,fraser-coast
Australiana Cottage Crafts & Herb Farm,-25.3460518,152.7352818,fraser-coast
B & H Designs,-25.5473162,152.7148222,fraser-coast
B & H Rural,-25.730618,152.5831363,fraser-coast
Bamboo Land Pty Ltd,-25.3336075,152.5619777,fraser-coast
Banana Bender,-25.2844663,152.8693712,fraser-coast
Bar Soma,-25.283858,152.8540537,fraser-coast
Battery World Hervey Bay,-25.2847269,152.8203344,fraser-coast
Bay Car & Boat Wash,-25.289951,152.8124764,fraser-coast
Bay Ceramic Tiles,-25.2857709,152.8307646,fraser-coast
Bay Time & Engraving,-25.2810119,152.8392373,fraser-coast
Baywaters Cleaning Services**,-25.2938558,152.850248,fraser-coast
Beach House Hotel (and Bottle-o),-25.2837478,152.8533958,fraser-coast
Beachside Marketplace,-25.2845546,152.8719162,fraser-coast
Bean Beat Espresso Bar,-25.2787956,152.8393802,fraser-coast
Beemart Enterprises,-25.5414977,152.7036561,fraser-coast
Betta Home Living Hervey Bay,-25.2850821,152.8689749,fraser-coast
Big & Bold Fashions & Espresso Bar,-25.5398533,152.7009897,fraser-coast
BIGSCREEN Cinemas Hervey Bay,-25.286609,152.8323559,fraser-coast
Blazes Burgerie & Convenience Store,-25.2849333,152.8979549,fraser-coast
Bloomers Florist,-25.2836093,152.8425466,fraser-coast
BME Packaging,-25.2948806,152.7662148,fraser-coast
BMee Allied Health & Recovery Centre,-25.2835888,152.8443198,fraser-coast
Bobs Tyres Hervey Bay,-25.288824,152.8374503,fraser-coast
Bobs Tyres Maryborough,-25.530996,152.6888086,fraser-coast
Boost Juice Hervey Bay,-25.2899537,152.8351116,fraser-coast
Bosch Car Service - 6 Star Motors,-25.5309868,152.6865357,fraser-coast
Bottle-O Airport,-25.3213108,152.8920927,fraser-coast
Bottle-O Station Square,-25.5382035,152.6977643,fraser-coast
Bottle-O Urangan Pier,-25.2853497,152.9008788,fraser-coast
Brolga Theatre and Convention Centre,-25.5346177,152.7062118,fraser-coast
Bullant Designs,-25.2845305,152.8277894,fraser-coast
Burrum Landscape Supplies,-25.3263412,152.5718701,fraser-coast
Bush Bubs Clothing & Embroidery,-25.5877133,152.67009,fraser-coast
Butcher Trav - Sommerfeld's Quality Meats,-25.283071,152.8400695,fraser-coast
Carriers Arms Hotel Motel,-25.532803,152.6901207,fraser-coast
Cars Plus Mechanical,-25.28313,152.827454,fraser-coast
Cartridge World Hervey Bay,-25.2849796,152.8460484,fraser-coast
Cartridge World Maryborough,-25.5399818,152.700357,fraser-coast
Cauldron Brewing,-25.2848995,152.819806,fraser-coast
Chameleon Skin and Beauty,-25.5381027,152.7034107,fraser-coast
Chilled Heat,-25.2846573,152.83042,fraser-coast
Cinders Attic Boutique,-25.5389058,152.7001963,fraser-coast
Coastal Tyres Direct,-25.3169857,152.8907494,fraser-coast
Cockatoo Coffee,-25.538408,152.70276,fraser-coast
Coffee Central on 7th,-25.2885821,152.8331643,fraser-coast
Concord Street Coffee,-25.537426,152.7026059,fraser-coast
Cool Cats Auto Air,-25.2880635,152.8973286,fraser-coast
Core Condition Pilates and Massage Studio,-25.2842449,152.8447154,fraser-coast
Customised Health,-25.2834911,152.8319332,fraser-coast
Customs House Hotel Maryborough,-25.5386939,152.7051942,fraser-coast
Decoy Cafe,-25.2836322,152.853129,fraser-coast
Earles Paint Place,-25.5369881,152.7029515,fraser-coast
Earthen Body,-25.5568052,152.6725777,fraser-coast
EAT in the Bay,-25.2836841,152.8761444,fraser-coast
Electrical Search,-25.559923,152.6665861,fraser-coast
Elfotography Hervey Bay,-25.2863364,152.8695396,fraser-coast
Eli Pharmacy,-25.2882331,152.8130706,fraser-coast
Eli Waters Jewellers,-25.2866677,152.8156601,fraser-coast
Elmers Furniture Court and Beds R Us Maryborough,-25.5306402,152.6889463,fraser-coast
Farmer Chiropractic,-25.5406722,152.700931,fraser-coast
Fisho's Tackle World Hervey Bay,-25.2847272,152.8456297,fraser-coast
Foodworks Hervey Bay Airport,-25.3213108,152.8920927,fraser-coast
Fortune Chinese Restaurant,-25.5377334,152.7036545,fraser-coast
Fraser Coast Cleaning Supplies Pty Ltd,-25.2848477,152.8728583,fraser-coast
Fraser Coast Consulting,-25.2462709,152.8135804,fraser-coast
Fraser Coast Fresh Produce,-25.2899458,152.8370827,fraser-coast
Fraser Coast Gas,-25.5242294,152.6915458,fraser-coast
Fraser Coast Hospice,-25.2993126,152.8085528,fraser-coast
Fraser Coast Nursery,-25.539167,152.6916325,fraser-coast
Fraser Coast Outdoors,-25.5400179,152.6993697,fraser-coast
Fraser Coast Quick Cash,-25.2818359,152.840118,fraser-coast
Fraser Coast Regional Council Customer Service Hervey Bay,-25.2943975,152.8632399,fraser-coast
Fraser Coast Regional Council Customer Service Maryborough,-25.5388798,152.7019406,fraser-coast
Fraser Coast Rural Supplies,-25.5171197,152.6667009,fraser-coast
Fraser Island Boat Charters**,-25.2927367,152.9085589,fraser-coast
Fraser Tech Solutions,-25.2815902,152.8124777,fraser-coast
Fraserjet,-38.3082605,144.3703954,fraser-coast
Freedom Fishing Supplies,-25.5411421,152.7015739,fraser-coast
Frox Fashion - Eli Waters,-25.2866677,152.8156601,fraser-coast
Frox Fashion - Urangan,-25.2925395,152.8930067,fraser-coast
Gatakers Artspace Maryborough,-25.5395203,152.7051544,fraser-coast
Giant Hervey Bay,-25.2831962,152.8388009,fraser-coast
Giovannis Pizza Bar & Italian Street Food,-25.2835919,152.8402506,fraser-coast
Go Girl Hervey Bay,-25.2848904,152.8686532,fraser-coast
Good Games Fraser Coast,-25.2848959,152.8324042,fraser-coast
Granville Butchery,-25.5413223,152.7164008,fraser-coast
Great Ocean Helicopters,-25.3204668,152.886319,fraser-coast
GS Engineering,-25.2881591,152.8399482,fraser-coast
Gym Bean Espresso,-25.5396175,152.7018429,fraser-coast
Haik Hair and Beauty,-25.2901741,152.8029932,fraser-coast
Haman Optical,-25.5401846,152.7008375,fraser-coast
Happy Days Diner,-25.5285152,152.7015968,fraser-coast
Harbour Gift Gallery,-25.2918492,152.9099962,fraser-coast
Harryâ€™s Thai Food,-25.5460277,152.6834823,fraser-coast
Hatch Design & Creative Store,-25.2853743,152.9007959,fraser-coast
Haymans Electrical Hervey Bay,-25.2860954,152.8266981,fraser-coast
Haymans Maryborough - Alice Street,-25.5379794,152.6964309,fraser-coast
Haymans Maryborough - Ellena Street,-25.5414942,152.7034336,fraser-coast
Headlines Hair & Beauty,-25.2842714,152.8699829,fraser-coast
Heritage City News,-25.5394425,152.7007473,fraser-coast
Hervey Bay Airport Visitor Information Centre,-25.3225321,152.8897016,fraser-coast
Hervey Bay Aquatic Centre,-25.3021886,152.8659319,fraser-coast
Hervey Bay Automatic Transmissions & Mechanical,-25.2829167,152.8249751,fraser-coast
Hervey Bay Coffee,-25.2836592,152.8299141,fraser-coast
Hervey Bay Computers,-25.2817995,152.8398607,fraser-coast
Hervey Bay Golf Driving Range,-25.3033002,152.8084785,fraser-coast
Hervey Bay Hotel,-25.2780002,152.8357961,fraser-coast
Hervey Bay Massage and Day Spa,-25.2927506,152.9097336,fraser-coast
Hervey Bay Mechanical,-25.3139738,152.8920615,fraser-coast
Hervey Bay Regional Gallery,-25.2838368,152.8378894,fraser-coast
Hervey Bay Taxi Service,-25.3210005,152.8926759,fraser-coast
Hervey Bay Visitor Information Centre,-25.2997203,152.8097899,fraser-coast
Hervey Bay Whale Watch,-25.2927367,152.9085589,fraser-coast
Hey Posy,-25.5409066,152.6930742,fraser-coast
Homewares from Everywhere,-25.5163015,152.666119,fraser-coast
House of HolaBox,-25.5370413,152.7042303,fraser-coast
Howard Art Hub,-25.3184681,152.5615721,fraser-coast
Howard Landscape And Produce Supplies,-25.3252073,152.5706769,fraser-coast
HRQ in the CITY,-25.5392404,152.6925789,fraser-coast
ibooKeep,-25.2515206,152.8110074,fraser-coast
Iga maryborough,-25.5359268,152.6925738,fraser-coast
Indian Diamond Restaurant,-25.5397974,152.6994386,fraser-coast
Iveyâ€™s Chicken 'n Carvery,-25.5458495,152.6833745,fraser-coast
Jade's on the Bay,-25.283858,152.8540537,fraser-coast
Jala Holistic Modalities,-25.522033,152.6989105,fraser-coast
Jetty Seafoods,-25.2828434,152.9023226,fraser-coast
KC's Gifts & Games,-25.2811361,152.839564,fraser-coast
Kebabs & Burgers K&B,-25.287684,152.837726,fraser-coast
KEFI by the Bay,-25.2834707,152.8530741,fraser-coast
K'gari Stay,-25.3965894,152.9110994,fraser-coast
Kingstons Rural Supplies,-25.5462574,152.6830616,fraser-coast
Klipdrift Safari,-25.5382444,152.703686,fraser-coast
La Bella Italia,-25.283858,152.8540537,fraser-coast
La Bella Italia Pizzeria,-25.2837565,152.8541265,fraser-coast
La Lars Hair,-25.5396454,152.7015713,fraser-coast
Langers Broadway Shoe Store,-25.5393296,152.7015632,fraser-coast
Le Petit Chocolatier,-25.2810321,152.8392386,fraser-coast
Leafes Variety Store,-25.5387171,152.7040306,fraser-coast
Lemongrass Authentic Thai Cuisine Restaurant,-25.2856538,152.8700449,fraser-coast
Lingerie on Kent,-25.5379276,152.7029423,fraser-coast
Luxe Lounge Hair & Beauty,-25.5382624,152.7012024,fraser-coast
Lychee Divine,-25.5773345,152.6537542,fraser-coast
Lyfestyle 24 Hervey Bay,-25.2848043,152.831982,fraser-coast
Lykaysha Boutique,-25.2863008,152.8695263,fraser-coast
Lyons Diesel Maintenance,-25.5601231,152.6663106,fraser-coast
Mark Neil Jewellers,-25.5382365,152.7037573,fraser-coast
Maryborough Bolts and Accessories,-25.5305701,152.690204,fraser-coast
Maryborough Dental,-25.5382035,152.6977643,fraser-coast
"Maryborough Fitness, Health & Bodyworks",-25.5396175,152.7018429,fraser-coast
Maryborough Golf Club & Pro Shop,-25.531082,152.6810718,fraser-coast
Maryborough Kitchens,-25.4747673,152.7206169,fraser-coast
Maryborough Paint Centre,-25.5421923,152.6994845,fraser-coast
Maryborough Services and Citizen's Memorial Club (Maryborough RSL),-25.5394802,152.6999245,fraser-coast
Maryborough Visitor Information Centre,-25.5376899,152.7018261,fraser-coast
Maxineâ€™s Shoes,-25.2826631,152.8429645,fraser-coast
Meals on Wheels Fraser Community Inc,-25.285232,152.8243255,fraser-coast
Meat@Westside,-25.5554083,152.6701744,fraser-coast
Mineral Earth Beauty & Skin Clinic,-25.2858081,152.8433321,fraser-coast
Mineral Earth Wellness Spa,-25.2819539,152.9011072,fraser-coast
My Butcher The Healthy Choice,-25.2894429,152.8349754,fraser-coast
My MeTime Massage & Pilates,-25.2673608,152.8191904,fraser-coast
Myatt Jewellers,-25.5380892,152.7025123,fraser-coast
Nail Passion,-25.2894409,152.8349629,fraser-coast
Nanaâ€™s Toys,-25.3458395,152.7743469,fraser-coast
National Home Brew,-25.2848995,152.819806,fraser-coast
News and Gifts Station Square,-25.5382035,152.6977643,fraser-coast
NewsXpress Eli Waters,-25.2865872,152.8156249,fraser-coast
Nissen Street Veterinary Surgery,-25.294522,152.8232703,fraser-coast
Nosh 2.0,-25.5130869,152.7085768,fraser-coast
Novus Fraser Coast,-25.5598676,152.6663106,fraser-coast
Ocean n Earth Diner & Bar,-25.2844311,152.8615276,fraser-coast
Paoloâ€™s Pizza Bar,-25.2838849,152.875322,fraser-coast
Parkside on Adelaide,-25.538174,152.7024923,fraser-coast
Pastry Creations,-25.5562028,152.670621,fraser-coast
Patchwork on Pallas,-25.5250596,152.6990253,fraser-coast
Personal Maids,-25.2848326,152.8760777,fraser-coast
Personal Maids,-25.284844,152.8760754,fraser-coast
Phoenix Nails and Beauty,-25.5254333,152.7102299,fraser-coast
Pialba Newsagency,-25.2811361,152.839564,fraser-coast
Pie & Pastry Paradise (Pialba),-25.2810005,152.8391764,fraser-coast
Pie & Pastry Paradise (Urangan),-25.2897682,152.8965513,fraser-coast
Portside Cafe & Restaurant,-25.5384438,152.7055028,fraser-coast
Prime Time Quality Meats,-25.2866677,152.8156601,fraser-coast
Queensland Computers - Fraser Coast,-25.2848433,152.8323269,fraser-coast
Radiance Clinic,-25.290773,152.8251409,fraser-coast
Reel Diesel Services,-25.2845698,152.8296851,fraser-coast
Replenish Refill,-25.2848193,152.8448025,fraser-coast
Ricardoâ€™s Italiano and Seafood,-25.2843565,152.8725196,fraser-coast
River Heads Cafe and Takeaway,-25.421175,152.9165905,fraser-coast
River Heads Pharmacy,-25.4229391,152.9172966,fraser-coast
Riviera Resort,-25.2846916,152.8621503,fraser-coast
Ron Maherâ€™s Flooring and Furniture,-25.542305,152.7018494,fraser-coast
RPM Mechanical,-25.2971747,152.7909536,fraser-coast
Sandys Fish Shop,-25.5311506,152.7000815,fraser-coast
Santini Italian Pastry Coffee,-25.2826559,152.8807633,fraser-coast
Santini Pizza e Cucina,-25.282604,152.880694,fraser-coast
Sauers Uniforms & Workwear,-26.1677537,152.6673641,fraser-coast
Schnitzel & Ribs,-25.2862643,152.8532727,fraser-coast
Scotty's Mad About Meats,-25.2836093,152.8425466,fraser-coast
Seafront Fish and Chips,-25.2787956,152.8393802,fraser-coast
Shoe Frenzy & Accessories,-25.283071,152.8400695,fraser-coast
Show It Off Home Improvements,-25.2836992,152.8298935,fraser-coast
Simple Solutions Training and Consulting,-25.2848344,152.8467096,fraser-coast
SIP Espresso Bar - Activity Street,-25.4900306,152.6662877,fraser-coast
SIP Espresso Bar - Alice Street,-25.5359484,152.6925469,fraser-coast
SIP Espresso Bar - Walker Street,-25.5224375,152.6885101,fraser-coast
Skyn Slinic,-25.2925285,152.8061572,fraser-coast
Souvlis Betta Maryborough,-25.5384947,152.7034191,fraser-coast
SOY Asian Cuisine,-25.2813207,152.8392089,fraser-coast
Spinal Care Queensland,-25.5399555,152.7008621,fraser-coast
Sportfirst Hervey Bay,-25.2894409,152.8349629,fraser-coast
Spotto Property Services,-25.248473,152.8219455,fraser-coast
Springvale Garden Centre,-25.3599359,152.7629091,fraser-coast
Steelrite - Hervey Bay,-25.295785,152.7970544,fraser-coast
Steelrite - Maryborough,-25.4860278,152.7095181,fraser-coast
Su Jus Bar Lifestyle Cafe,-25.283071,152.8400695,fraser-coast
Sugar Coast Seafoods,-25.5300861,152.6872474,fraser-coast
Supreme Hair Artistry,-25.5563361,152.6703509,fraser-coast
SY Auto Electrix & Air Conditioning,-25.535935,152.7147419,fraser-coast
T&J's Laundry Service,-25.5163015,152.666119,fraser-coast
Tasman Venture,-25.2934394,152.9086662,fraser-coast
Tasty Thai Restaurant Hervey Bay,-25.2840794,152.8539932,fraser-coast
Thai Diamond Restaurant,-25.2844479,152.8553857,fraser-coast
The Bath Shack,-25.283071,152.8400695,fraser-coast
The Bear,-25.2826958,152.8805335,fraser-coast
The Bling Thing,-25.5389767,152.7018381,fraser-coast
The Bond Store,-25.5388567,152.7058279,fraser-coast
The Butcher Shop Fine Food Butchery,-25.5459361,152.6837509,fraser-coast
The Caffeine Fix,-25.2836592,152.8299141,fraser-coast
The Collective,-25.2843873,152.8706973,fraser-coast
The Deck & Anchor,-25.5401621,152.7077272,fraser-coast
The Friendlies Discount Pharmacy Hervey Bay,-25.283669,152.8428726,fraser-coast
The Friendlies Discount Pharmacy Maryborough,-25.538867,152.7021249,fraser-coast
The Friendlies Discount Pharmacy Tinana,-25.5563361,152.6703509,fraser-coast
The Friendlies Independent Living - Maryborough,-25.5405068,152.7020613,fraser-coast
The Gas Cylinder,-25.2848953,152.8468015,fraser-coast
The Hervey Bay Dayman General Store,-25.2890682,152.9058592,fraser-coast
The Hideaway Tiaro (Station Hotel),-25.7231686,152.5807121,fraser-coast
The Hospital Cafe and Takeaway,-25.5226724,152.6888316,fraser-coast
The Ibis Next Door,-25.2825375,152.9009882,fraser-coast
The Salty Axe,-25.2838268,152.8686496,fraser-coast
The Story Bank,-25.5389221,152.7043811,fraser-coast
The Workers Wardrobe,-25.5367002,152.693561,fraser-coast
Thyme @ The Vinyard,-25.2810344,152.8981489,fraser-coast
Tiaro Christmas Cottage,-25.7300889,152.5830445,fraser-coast
Tiaro Craft Cottage & Visitor Information Centre,-25.7325156,152.5828954,fraser-coast
Tiaro Meats & Bacon,-25.7280686,152.582838,fraser-coast
Tinana Grocer - Westside,-25.5563361,152.6703509,fraser-coast
Tinana Hardware,-25.5483194,152.6796254,fraser-coast
